Event #0 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
  0.000  -484.6   0.000  -448.4
  0.195  -456.9   0.195  -424.9
  0.391  -413.3   0.391  -373.2
  0.586  -379.7   0.586  -337.3
  0.781  -316.6   0.781  -267.2
  0.977  -287.2   0.977  -232.7
  1.172  -205.4   1.172  -149.5
  1.367  -153.5   1.367   -92.2
  1.562   -76.5   1.562   -23.4
  1.758   -29.4   1.758    16.2
  1.953    43.4   1.953   100.0
  2.148    87.4   2.148   130.2
  2.344   171.4   2.344   222.2
  2.539   205.8   2.539   245.9
  2.734   278.4   2.734   316.7
  2.930   313.5   2.930   344.8
  3.125   366.8   3.125   391.5
  3.320   383.7   3.320   404.9
  3.516   428.7   3.516   444.1
  3.711   446.4   3.711   459.4
  3.906   469.4   3.906   474.2
  4.102   473.9   4.102   477.0
  4.297   484.7   4.297   478.9
  4.492   483.9   4.492   474.1
  4.688   474.5   4.688   454.7
  4.883   465.7   4.883   446.3
  5.078   439.3   5.078   409.1
  5.273   420.8   5.273   388.3
  5.469   377.7   5.469   337.2
  5.664   355.8   5.664   313.4
  5.859   290.4   5.859   242.4
  6.055   246.9   6.055   195.4
  6.250   172.8   6.250   116.7
  6.445   135.7   6.445    81.7
  6.641    59.5   6.641    -3.6
  6.836     9.2   6.836   -43.0
  7.031   -72.3   7.031  -130.6
  7.227  -109.7   7.227  -164.7
  7.422  -184.9   7.422  -238.5
  7.617  -231.4   7.617  -273.6
  7.812  -307.2   7.812  -348.0
  8.008  -335.0   8.008  -372.1
  8.203  -389.6   8.203  -419.6
  8.398  -421.3   8.398  -444.9
  8.594  -463.1   8.594  -487.1
  8.789  -472.1   8.789  -488.8
  8.984  -499.9   8.984  -499.9
  9.180  -499.9   9.180  -499.9
  9.375  -499.9   9.375  -499.9
  9.570  -499.9   9.570  -499.9
  9.766  -499.9   9.766  -482.8
  9.961  -486.5   9.961  -463.1
 10.156  -447.0  10.156  -412.8
 10.352  -424.5  10.352  -389.2
 10.547  -376.9  10.547  -334.2
 10.742  -334.4  10.742  -288.1
 10.938  -264.4  10.938  -210.4
 11.133  -235.4  11.133  -182.7
 11.328  -156.3  11.328   -99.7
 11.523  -114.4  11.523   -63.5
 11.719   -27.7  11.719    25.6
 11.914    18.4  11.914    70.7
 12.109    96.6  12.109   147.4
 12.305   142.5  12.305   185.3
 12.500   218.4  12.500   261.4
 12.695   249.2  12.695   285.1
 12.891   312.4  12.891   342.5
 13.086   337.7  13.086   368.7
 13.281   395.4  13.281   412.0
 13.477   412.3  13.477   432.2
 13.672   446.5  13.672   457.1
 13.867   463.4  13.867   471.6
 14.062   479.1  14.062   479.3
 14.258   481.1  14.258   480.3
 14.453   482.3  14.453   473.8
 14.648   480.5  14.648   468.6
 14.844   465.0  14.844   443.0
 15.039   453.0  15.039   427.8
 15.234   422.3  15.234   388.6
 15.430   397.2  15.430   363.4
 15.625   342.3  15.625   292.3
 15.820   314.2  15.820   263.3
 16.016   247.0  16.016   192.7
 16.211   212.4  16.211   156.6
 16.406   123.6  16.406    70.3
 16.602    97.1  16.602    40.2
 16.797    16.3  16.797   -43.1
 16.992   -33.0  16.992   -85.8
 17.188  -127.8  17.188  -181.7
 17.383  -150.9  17.383  -201.5
 17.578  -238.9  17.578  -284.8
 17.773  -270.4  17.773  -309.9
 17.969  -336.8  17.969  -374.8
 18.164  -365.8  18.164  -396.1
 18.359  -417.0  18.359  -444.4
 18.555  -442.6  18.555  -463.3
 18.750  -479.5  18.750  -494.5
 18.945  -487.9  18.945  -496.7
 19.141  -499.9  19.141  -499.9
 19.336  -499.9  19.336  -499.9
 19.531  -499.9  19.531  -499.9
 19.727  -499.9  19.727  -493.0
 19.922  -487.1  19.922  -461.1
 20.117  -468.7  20.117  -434.4
